STATEFP,CD115FP,AFFGEOID,GEOID,LSAD,CDSESSN,ALAND,AWATER,PP_20m
22,02,5001500US2202,2202,C2,115,3285061039,522507336,11
12,12,5001500US1212,1212,C2,115,2225709299,543289800,50
31,02,5001500US3102,3102,C2,115,1320129902,43574676,64
06,35,5001500US0635,0635,C2,115,437423307,309741,38
12,03,5001500US1203,1203,C2,115,9233151320,722439524,64
32,01,5001500US3201,3201,C2,115,270624139,16683,67
48,03,5001500US4803,4803,C2,115,1245254103,98149448,66
36,17,5001500US3617,3617,C2,115,990754154,149873221,61
12,27,5001500US1227,1227,C2,115,293291784,597442671,32
11,98,5001500US1198,1198,C4,115,158351639,18675956,62
13,01,5001500US1301,1301,C2,115,20880536010,2248892004,33
13,09,5001500US1309,1309,C2,115,13497964615,411754565,46
17,13,5001500US1713,1713,C2,115,15004789445,216512557,23
18,03,5001500US1803,1803,C2,115,10826747936,135332323,54
19,04,5001500US1904,1904,C2,115,58937921470,264842664,52
27,01,5001500US2701,2701,C2,115,31012750187,541310820,34
39,13,5001500US3913,3913,C2,115,2315893758,70480190,16
40,02,5001500US4002,4002,C2,115,54380778941,1949953912,37
48,13,5001500US4813,4813,C2,115,99324834105,766086802,31
50,00,5001500US5000,5000,C1,115,23873457570,1031134839,50
06,03,5001500US0603,0603,C2,115,16016675422,456738339,25
45,01,5001500US4501,4501,C2,115,4008869914,2197476605,10
48,17,5001500US4817,4817,C2,115,19814872130,309535606,34
48,25,5001500US4825,4825,C2,115,19742346368,316135102,22
06,36,5001500US0636,0636,C2,115,15313274422,201717667,46
12,01,5001500US1201,1201,C2,115,10405022944,1920198807,49
13,02,5001500US1302,1302,C2,115,24931972415,449472216,44
18,04,5001500US1804,1804,C2,115,16450535829,70422165,46
19,03,5001500US1903,1903,C2,115,22761908990,156085934,53
21,02,5001500US2102,2102,C2,115,18590113025,400504493,19
23,02,5001500US2302,2302,C2,115,71374167567,7014040632,37
35,03,5001500US3503,3503,C2,115,116455539384,306910807,41
29,04,5001500US2904,2904,C2,115,37311486202,744930706,27
36,11,5001500US3611,3611,C2,115,168154101,128598705,43
48,36,5001500US4836,4836,C2,115,18455855223,1242361098,40
48,01,5001500US4801,4801,C2,115,20379651926,951774857,38
51,10,5001500US5110,5110,C2,115,3551510219,37716508,20
53,06,5001500US5306,5306,C2,115,17876929516,5100644174,52
01,06,5001500US0106,0106,C2,115,10802840847,176671228,22
53,01,5001500US5301,5301,C2,115,16019745919,1098044552,39
06,45,5001500US0645,0645,C2,115,855911615,5327953,62
05,01,5001500US0501,0501,C2,115,50035449740,1234801742,22
08,03,5001500US0803,0803,C2,115,128801473805,388035363,40
25,03,5001500US2503,2503,C2,115,1962144439,76251014,32
26,12,5001500US2612,2612,C2,115,1044251681,72039332,29
27,07,5001500US2707,2707,C2,115,86581180363,5057706724,33
28,03,5001500US2803,2803,C2,115,33033314456,342512113,22
31,03,5001500US3103,3103,C2,115,174641284006,1077690968,39
39,06,5001500US3906,3906,C2,115,18685899843,202614327,18
47,01,5001500US4701,4701,C2,115,10727532484,207535869,32
40,05,5001500US4005,4005,C2,115,5371380241,59056725,31
42,11,5001500US4211,4211,C2,115,8692587229,193801093,18
04,04,5001500US0404,0404,C2,115,85987712579,504274113,17
06,13,5001500US0613,0613,C2,115,250704087,127161024,65
06,05,5001500US0605,0605,C2,115,4482412550,319292815,31
12,04,5001500US1204,1204,C2,115,4065702591,1017145271,30
16,01,5001500US1601,1601,C2,115,102096846269,1311800081,24
21,01,5001500US2101,2101,C2,115,31293052442,1224600771,17
25,06,5001500US2506,2506,C2,115,1364157680,864455788,42
27,08,5001500US2708,2708,C2,115,72279889700,12450296907,38
37,02,5001500US3702,3702,C2,115,6988484962,95863414,25
48,33,5001500US4833,4833,C2,115,549094430,16597231,16
13,06,5001500US1306,1306,C2,115,774197747,14045945,45
01,05,5001500US0105,0105,C2,115,9526132610,459315160,33
04,01,5001500US0401,0401,C2,115,142546050209,354049454,28
13,12,5001500US1312,1312,C2,115,21202177276,375197181,30
22,05,5001500US2205,2205,C2,115,37433744653,1114650961,18
26,02,5001500US2602,2602,C2,115,8540026707,7429788536,41
26,05,5001500US2605,2605,C2,115,6083511035,4835435284,19
34,03,5001500US3403,3403,C2,115,2326349284,618688651,37
18,09,5001500US1809,1809,C2,115,11620750501,145921133,43
17,12,5001500US1712,1712,C2,115,12971461658,462555006,30
22,06,5001500US2206,2206,C2,115,10447660904,1012420537,12
25,09,5001500US2509,2509,C2,115,3149602733,5148720788,10
27,02,5001500US2702,2702,C2,115,6314196469,243534838,40
29,03,5001500US2903,2903,C2,115,17745385735,368183517,31
47,07,5001500US4707,4707,C2,115,23725142425,416632763,30
48,34,5001500US4834,4834,C2,115,21214143666,3364091631,16
06,32,5001500US0632,0632,C2,115,321800650,5294390,53
12,07,5001500US1207,1207,C2,115,1017701317,110468531,56
17,03,5001500US1703,1703,C2,115,613767733,13129912,34
24,04,5001500US2404,2404,C2,115,771431747,48192537,18
48,29,5001500US4829,4829,C2,115,484545639,10301758,24
